"Gene","adj.P.Val","adj.P.Val.1","adj.P.Val.2"
"TC01003189.hg.1:2",1.67229845963596e-08,8.09699704227728e-42,2.61081637138363e-24
"TC06001343.hg.1:1",1.78426545586151e-08,9.39809114230003e-46,1.28417397807801e-27
"TC01003085.hg.1:1",1.90347281179906e-08,1.23692874298936e-51,6.68180047237227e-28
"TC07001127.hg.1:1",2.00968359326718e-08,2.11247736006903e-13,2.53442553444175e-07
"TC22000519.hg.1:1",2.16386391273417e-08,3.05700449396732e-61,1.01435639587763e-30
"TC22000951.hg.1:2",2.49686335358393e-08,2.20164398739485e-56,1.85992599352202e-29
"TC15001165.hg.1:1",2.58906179607258e-08,1.05844518418072e-16,2.43653506371061e-15
"TC06001342.hg.1:1",2.58906179607258e-08,1.54711360529053e-37,6.91811763668984e-24
"TC06000225.hg.1:1",2.95063584039059e-08,9.16651843197137e-44,1.52556852659381e-28
"TC01006023.hg.1:1",2.95063584039059e-08,1.6557586996142e-26,1.34091359961199e-20
"TC17002645.hg.1:1",2.95063584039059e-08,2.66125783184337e-38,2.39046618681642e-18
"TC22000029.hg.1:2",4.43569383978222e-08,3.05700449396732e-61,1.37571213228188e-30
"TC02001159.hg.1:2",4.63097301266131e-08,1.00561870104123e-59,2.61695043193911e-30
"TC01003296.hg.1:1",5.2651329943842e-08,4.23111177897624e-35,1.89379015523246e-28
"TC05001610.hg.1:1",5.64235813302912e-08,1.7590323745351e-23,3.49422110658057e-22
"TC15000223.hg.1:3",5.64442270964547e-08,2.05403116843763e-31,7.62980201104145e-21
"TC04000484.hg.1:1",5.65460701609644e-08,1.24632535695077e-53,4.23481464487825e-28
"TC15001858.hg.1:2",5.77483446921402e-08,5.95157423701664e-32,1.19306051364138e-17
"TC14001155.hg.1:2",6.20606415802376e-08,5.8823930190318e-38,8.68044438446757e-23
"TC11002076.hg.1:1",7.0109105558981e-08,1.44622054712809e-21,3.31876099586309e-11
"TC22001419.hg.1:1",7.01113523941637e-08,8.7025595830235e-48,1.64676542430267e-27
"TC16000634.hg.1:3",7.59508318847447e-08,1.07646912800321e-32,9.49231654194862e-21
"TC06001429.hg.1:1",7.94505279901344e-08,2.99855951912228e-45,1.35548543777149e-29
"TC20000575.hg.1:1",8.04823657349094e-08,1.31020782486406e-56,2.42834414821611e-28
"TC22001425.hg.1:2",8.13615072019503e-08,2.50536216316793e-33,2.97529241012396e-23
"TC01003702.hg.1:1",8.43518332056757e-08,7.30361774461893e-32,1.34705843107718e-19
"TC05001841.hg.1:2",1.1208686747655e-07,1.01864034348776e-37,2.41252341393441e-27
"TC15002807.hg.1:3",1.28028653429598e-07,2.59682224702571e-37,1.29191069945333e-20
"TC01001430.hg.1:2",1.413187641614e-07,1.30897546706944e-39,7.52296534871812e-24
"TC07002083.hg.1:3",1.413187641614e-07,1.94597262058744e-33,6.96031769756438e-23
"TC22000394.hg.1:2",1.49772512640443e-07,2.43988989712717e-33,3.33357610986066e-20
"TC16000473.hg.1:1",1.64655437499002e-07,8.46295735719633e-50,8.82069715185403e-26
"TC06000270.hg.1:1",1.77843466066563e-07,4.24093479160964e-47,1.61574558255123e-29
"TC17001523.hg.1:1",1.83941118104495e-07,3.06203360254962e-54,2.51181073923763e-26
"TC06001354.hg.1:1",1.87693999781459e-07,2.37272363135815e-47,6.48040707910647e-28
"TC19002021.hg.1:1",1.87693999781459e-07,7.40905116166823e-42,1.40162852123379e-20
"TC03000257.hg.1:2",2.03625383603496e-07,9.63499393604943e-41,4.57446740243934e-25
"TC22000430.hg.1:1",2.24335992911751e-07,6.45838781602384e-49,9.22241106969233e-29
"TC06001344.hg.1:1",2.35803611460951e-07,9.06294479012524e-40,5.74036775428085e-24
"TC14001154.hg.1:2",2.38367244062483e-07,6.9935834746521e-36,2.39665807848954e-22
"TC03000664.hg.1:3",2.39902930417796e-07,5.19256448469614e-37,9.60471864791382e-21
"TC01000950.hg.1:2",2.4778459560267e-07,9.66687384188365e-44,2.53051066861536e-22
"TC06001386.hg.1:1",2.67160657337205e-07,1.82352227736843e-30,1.54828534382384e-19
"TC06001426.hg.1:1",2.96112856554721e-07,6.44144652052316e-37,2.1787643657947e-26
"TC17000520.hg.1:2",2.96112856554721e-07,2.14740252154623e-53,2.304292638473e-31
"TC17001924.hg.1:1",2.99494720781596e-07,2.23877232671882e-60,1.30229003327344e-30
"TC02005019.hg.1:1",3.56248027122822e-07,1.16818430612198e-36,5.9324092188391e-21
"TC11001241.hg.1:1",3.6154180820935e-07,1.46555891904044e-49,1.66919371542985e-25
"TC03001031.hg.1:1",3.64422260490019e-07,9.18533569838964e-52,7.83315954921136e-27
"TC03001632.hg.1:2",3.75159898538958e-07,1.91052171775401e-24,3.74107277346392e-18
"TC01001173.hg.1:1",3.75159898538958e-07,2.17051371193021e-43,5.57707047853753e-24
"TC13000111.hg.1:2",3.75916420769163e-07,2.5481859712877e-49,2.47294418286511e-29
"TC12001489.hg.1:1",3.75916420769163e-07,7.32206656063166e-35,6.92457603807741e-22
"TC17001769.hg.1:2",3.80348016442891e-07,2.31596948876263e-18,1.31757551759511e-14
"TC01003192.hg.1:2",3.80348016442891e-07,5.63216772200015e-44,2.75292580897306e-24
"TC22001254.hg.1:1",4.21635746903325e-07,1.00044846730231e-27,1.37535267334185e-18
"TC08001438.hg.1:1",4.24355459091681e-07,1.01624851756006e-33,2.03446154001132e-13
"TC07001916.hg.1:1",4.27449043403982e-07,7.34717530619768e-47,1.88576311785618e-22
"TC02005020.hg.1:1",4.36530619618951e-07,3.0965820255584e-48,2.42822114529303e-25
"TC10001309.hg.1:1",4.49390016976214e-07,9.24563652750895e-45,2.61081637138363e-24
"TC02004017.hg.1:1",4.62314289918373e-07,5.07277881719225e-40,2.03262348043222e-22
"TC04001605.hg.1:1",4.75560321681865e-07,6.52326247287829e-26,1.6043815779802e-17
"TC08002561.hg.1:1",4.75560321681865e-07,7.17988256567704e-39,9.39051666795445e-19
"TC04000028.hg.1:3",5.1023555116179e-07,4.61398893435323e-21,8.0130606405396e-17
"TC20001661.hg.1:1",5.1023555116179e-07,2.51311066557109e-20,1.05515623903447e-15
"TC02000978.hg.1:1",6.20840329053177e-07,4.42778678463509e-42,2.73098636010689e-22
"TC01000023.hg.1:2",6.36409735654275e-07,1.87490569042285e-48,5.87949977636434e-24
"TC03001695.hg.1:1",6.46750897059675e-07,2.46970756529992e-25,2.72917574580012e-14
"TC04002476.hg.1:1",6.74058852076829e-07,9.83102382615773e-29,2.4998353502595e-22
